epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.1351,1.66891,5.38218,1.29406,0.00333,1,0.00469,0.00375,1.02187,3.90338,1.09079,0,0,0
2,13.3078,2.22316,5.42634,1.65862,0.00333,1,0.00456,0.00365,1.00008,3.89626,1.08657,1.967e-05,1.967e-05,1.967e-05
3,16.8615,1.73804,4.50544,1.47701,0.00333,1,0.00465,0.00372,0.93051,3.88928,1.07182,3.868e-05,3.868e-05,3.868e-05
4,22.3326,1.38164,4.58533,1.2779,0.00333,1,0.00524,0.00419,0.84385,3.90398,1.05821,5.703e-05,5.703e-05,5.703e-05
5,27.845,1.99966,6.3013,1.47483,0.00333,1,0.00607,0.00485,0.75205,3.90897,1.04349,7.472e-05,7.472e-05,7.472e-05
6,31.8251,1.82946,4.32676,1.60605,0.00333,1,0.00732,0.00585,0.69423,3.92159,1.03915,9.175e-05,9.175e-05,9.175e-05
7,35.4569,1.58282,4.14274,1.18673,0.00333,1,0.00802,0.00642,0.62437,3.89467,1.03817,0.00010812,0.00010812,0.00010812
8,38.9927,1.28874,3.97895,1.21547,0.00333,1,0.00816,0.00734,0.60956,3.89219,1.04244,0.00012383,0.00012383,0.00012383
9,42.6632,0.97567,3.77313,1.05608,0.00333,1,0.00873,0.00786,0.67924,3.85799,1.04666,0.00013888,0.00013888,0.00013888
10,46.3335,1.31584,4.03706,1.27955,0.00333,1,0.00843,0.00675,0.66517,3.84961,1.03739,0.00015327,0.00015327,0.00015327
11,49.672,1.23479,3.41333,1.15166,0.00333,1,0.00836,0.00669,0.66613,3.91796,1.0504,0.000167,0.000167,0.000167
12,53.3529,0.90363,3.14001,0.91053,0.00333,1,0.00802,0.00562,0.67663,3.94345,1.04855,0.00018007,0.00018007,0.00018007
13,56.8437,0.92507,2.76582,0.97759,0.00333,1,0.00783,0.00548,0.73086,3.94412,1.05521,0.00019248,0.00019248,0.00019248
14,60.2501,1.14948,2.5701,1.10605,0.00333,1,0.00754,0.00528,0.78621,3.84855,1.06101,0.00020423,0.00020423,0.00020423
15,63.8509,1.04093,2.4965,0.96437,0.00333,1,0.199,0.06272,0.81043,3.77453,1.07871,0.00021532,0.00021532,0.00021532
16,67.4619,1.08752,2.28166,0.96011,0.00333,1,0.199,0.1393,0.89104,3.77426,1.07407,0.00022575,0.00022575,0.00022575
17,71.0525,1.16496,2.69565,0.99253,0.00333,1,0.199,0.1393,0.90444,3.6839,1.08257,0.00023552,0.00023552,0.00023552
18,74.5884,0.76856,3.18364,0.86321,0.00333,1,0.199,0.1393,0.90444,3.6839,1.08257,0.00024463,0.00024463,0.00024463
19,78.2493,1.1543,3.05659,1.0595,0.00333,1,0.16583,0.08292,0.80831,3.68767,1.07524,0.00025308,0.00025308,0.00025308
20,82.4719,1.18607,2.35042,1.02877,0.00333,1,0.16583,0.08292,0.80831,3.68767,1.07524,0.00026087,0.00026087,0.00026087
21,86.9358,0.80762,2.06151,0.99832,0.00333,1,0.00706,0.00565,0.74123,3.71863,1.06682,0.000268,0.000268,0.000268
22,91.0995,1.31381,2.42885,1.09786,0.00333,1,0.00706,0.00565,0.74123,3.71863,1.06682,0.00027447,0.00027447,0.00027447
23,95.0112,0.98273,1.94461,1.01919,0.00333,1,0.00726,0.00581,0.70427,3.72659,1.06102,0.00028028,0.00028028,0.00028028
24,98.5102,1.0016,2.02816,1.00376,0.00333,1,0.00726,0.00581,0.70427,3.72659,1.06102,0.00028543,0.00028543,0.00028543
25,102.204,1.2282,1.81579,1.09922,0.00333,1,0.00711,0.00569,0.63227,3.83477,1.05984,0.00028992,0.00028992,0.00028992
26,106.869,0.93279,1.50149,0.92951,0.00333,1,0.00711,0.00569,0.63227,3.83477,1.05984,0.00029375,0.00029375,0.00029375
27,111.149,0.79557,1.98638,0.89159,0.00333,1,0.00732,0.00585,0.64575,3.83681,1.06481,0.00029692,0.00029692,0.00029692
28,115.947,0.78787,1.44243,0.86859,0.00333,1,0.00732,0.00585,0.64575,3.83681,1.06481,0.00029943,0.00029943,0.00029943
29,120.447,0.96448,1.74579,0.96255,0.00333,1,0.00706,0.00565,0.70218,3.87031,1.08511,0.00030128,0.00030128,0.00030128
30,125.728,0.72675,1.82744,0.96557,0.00333,1,0.00706,0.00565,0.70218,3.87031,1.08511,0.00030247,0.00030247,0.00030247
31,130.53,0.87261,1.84031,0.93727,0.00333,1,0.00754,0.00603,0.76663,3.83685,1.08522,0.000303,0.000303,0.000303
32,135.006,0.93013,1.44637,0.92319,0.00333,1,0.00754,0.00603,0.76663,3.83685,1.08522,0.00030287,0.00030287,0.00030287
33,139.189,1.1039,1.71099,1.06381,0.00333,1,0.00721,0.00577,0.7889,3.77463,1.07669,0.00030208,0.00030208,0.00030208
34,142.659,1.07964,1.56657,0.95819,0.00333,1,0.00721,0.00577,0.7889,3.77463,1.07669,0.00030063,0.00030063,0.00030063
35,146.092,0.93587,2.02356,0.97008,0.00333,1,0.00726,0.00581,0.74896,3.77749,1.07117,0.00029852,0.00029852,0.00029852
36,149.476,0.92507,1.27807,0.96643,0.00333,1,0.00726,0.00581,0.74896,3.77749,1.07117,0.00029575,0.00029575,0.00029575
37,152.905,0.97085,2.09085,1.02748,0.00333,1,0.00743,0.00594,0.71499,3.8293,1.06367,0.00029232,0.00029232,0.00029232
38,156.163,0.72227,1.46333,0.88285,0.00333,1,0.00743,0.00594,0.71499,3.8293,1.06367,0.00028823,0.00028823,0.00028823
39,159.639,0.94343,1.45757,0.93862,0.00333,1,0.00748,0.00673,0.68689,3.85936,1.06251,0.00028348,0.00028348,0.00028348
40,163.25,0.95021,1.66732,0.9809,0.00333,1,0.00748,0.00673,0.68689,3.85936,1.06251,0.00027807,0.00027807,0.00027807
41,166.711,0.62642,1.39886,0.86953,0.00333,1,0.00737,0.00663,0.62387,3.89623,1.05461,0.000272,0.000272,0.000272
42,170.034,0.91885,1.10131,0.93093,0.00333,1,0.00737,0.00663,0.62387,3.89623,1.05461,0.00026527,0.00026527,0.00026527
43,173.399,0.832,1.47562,0.9519,0.00333,1,0.00686,0.00618,0.56383,3.89809,1.04955,0.00025788,0.00025788,0.00025788
44,176.713,0.79073,1.83551,0.84509,0.00333,1,0.00686,0.00618,0.56383,3.89809,1.04955,0.00024983,0.00024983,0.00024983
45,180.146,0.88617,1.80898,0.97954,0.00333,1,0.00672,0.00605,0.59659,3.91249,1.05733,0.00024112,0.00024112,0.00024112
46,183.82,0.85875,1.42412,0.95489,0.00333,1,0.00672,0.00605,0.59659,3.91249,1.05733,0.00023175,0.00023175,0.00023175
47,187.822,0.76297,1.77433,0.83131,0.00333,1,0.00682,0.004,0.70723,3.83784,1.07423,0.00022172,0.00022172,0.00022172
48,191.77,0.76891,1.73771,0.90821,0.00333,1,0.00682,0.004,0.70723,3.83784,1.07423,0.00021103,0.00021103,0.00021103
49,196.301,0.69437,2.14024,0.85091,0.00333,1,0.00748,0.00439,0.75186,3.84625,1.08614,0.00019968,0.00019968,0.00019968
50,200.355,0.83552,1.70392,0.90823,0.00333,1,0.00748,0.00439,0.75186,3.84625,1.08614,0.00018767,0.00018767,0.00018767
51,203.827,0.72962,1.75133,0.84662,0.00333,1,0.00732,0.00427,0.77627,3.87203,1.09101,0.000175,0.000175,0.000175
52,208.373,0.64476,1.6874,0.88773,0.00333,1,0.00732,0.00427,0.77627,3.87203,1.09101,0.00016167,0.00016167,0.00016167
53,212.839,0.74462,1.81023,0.86948,0.00333,1,0.00732,0.00427,0.77627,3.87203,1.09101,0.00014768,0.00014768,0.00014768
54,216.529,0.75777,1.80519,0.85638,0.00333,1,0.00716,0.00424,0.85426,3.88163,1.08919,0.00013303,0.00013303,0.00013303
55,219.957,0.80944,1.66213,0.89711,0.00333,1,0.00716,0.00424,0.85426,3.88163,1.08919,0.00011772,0.00011772,0.00011772
56,223.571,0.75669,1.86311,0.88057,0.00333,1,0.00716,0.00424,0.85426,3.88163,1.08919,0.00010175,0.00010175,0.00010175
57,227.12,0.70838,1.69681,0.82336,0.00333,1,0.00686,0.00477,0.83919,3.80303,1.08648,8.512e-05,8.512e-05,8.512e-05
58,230.589,0.67507,1.56683,0.83552,0.00333,1,0.00686,0.00477,0.83919,3.80303,1.08648,6.783e-05,6.783e-05,6.783e-05
59,234.022,0.71253,1.74783,0.82832,0.00333,1,0.00686,0.00477,0.83919,3.80303,1.08648,4.988e-05,4.988e-05,4.988e-05
60,237.599,0.75684,1.72963,0.93315,0.00333,1,0.00691,0.00484,0.83387,3.67976,1.08259,3.127e-05,3.127e-05,3.127e-05
